Company Name,Capacity Allotted (MT/A),Email Address,Phone Number,Type
Threco Recycling LLP,3000,karan@threco.com,9820622802,Recycler
Eco Reset Private Limited,10200,ecoreset41@gmail.com,7021819071,Recycler
S V Greentech Private Limited,8500,rihanmalik986@gmail.com,9371106436,Recycler
Western Recycler,400,hasimansari229@gmail.co m,9967865052,Recycler
Green Life E Waste Recycling Pvt Ltd ,660,greenlifeewaste@gmail.co m,8097800830,Recycler
ECO Friend Industries,1240,"ingle.mamata@raoagroup
 .com",9821151069,Recycler
Vozon Comsof Pvt Ltd,5000,rajendrakale.vozon@gmail.c om,8600726007,Refurbisher
Wonder Print Technologies,375,sakaria@wonderprint.in,9373522555,Refurbisher
Masstech Recycling LLP,400,bharatscrap07@gmail.co m,9821430755,Refurbisher
Maharashtra Enterprises,300,mahaenter22@gmail.com,9892884231,Refurbisher
Glacier Waste Management LLP,450,info.glacier21@gmail.com,9404648183,Refurbisher
Prabhunath Traders,1680,scrapcomputer11@gmail. com,9326262223,Dismantler
Maharashtra Enterprises,500,mahaenter22@gmail.com,9892884231,Dismantler
Mahesh Traders,107,"maheshchetiwal11@gmail
 .com",9823901011,Dismantler
Aqsa Stamping,300,"aqsastamping@rocketmail
 .com",9820026815,Dismantler
Sadab Traders,300,sadabtra.nsk@gmail.com,9372670601,Dismantler
Krishna Metal Refinery,750,krishnarefinery@gmail.co m,9323901533,Dismantler
EMS Scrapo,90,Emsscrapo@gmail.com,8793606855,Refurbisher
Shabbir Traders,300,khanbashir5@gmail.com,9987737861,Dismantler
S K Enterprises,300,skenterprises5798@gmail. com,8433865798,Dismantler
ALFA TRADING COMPANY,600,alfatradingcomp@gmail.c om,996766557,Dismantler
Recycle Mitra Eco Care LLP,100,info@recyclemitra.com,7506942278,Dismantler
S. K. Enterprises,5000,skeprocessorsindia@yaho o.com,9822475277,Dismantler
Raza Enterprises,365,razaentp1986@gmail.com,9921002786,Dismantler
Green Care E Waste Recycling,200,nitinhule123@gmail.com,9820928610,Dismantler
