ID,Company Name,MATCH in mpcb,Info,Status,Type,Address,District,State,Capacity Allotted as per Consent / Authorisation (MT/A),E-mail Address,Contact Number
9681,ALFA TRADING COMPANY,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"Mohd Estate, Pimpri Dahisar Mori, Mumbra Panvel Road Thane Thane",Thane,MAHARASHTRA,,,
16008,GLACIER WASTE MANAGEMENT LLP,Available in MPCB Data,Recycler,Pending at applicant,Authorization,B-49 MIDC Vita Karve vita 415311 Vita Sangli,Sangli,MAHARASHTRA,,,
9206,NATIONAL TRADING CORPORATION,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"6A,,FIRDOS COMPOUND,,KHERANI ROAD,NR.RAHAT HOTEL KURLA WEST,MUMBAI SUBURBAN MUMBAI Thane",Thane,MAHARASHTRA,,,
28882,RAZA ENTERPRISES,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"Sr. No. 124, Shed-A Gate No. 1 Khandve Nagar Pune-Nagar Road Kharadi Pune Tal. Haveli, Dist. Pune 411047 Pune Pune",Pune,MAHARASHTRA,,,
8962,RECYCLE MITRA ECO CARE LLP,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"Plot No-A368, Floor No.1, M.H Industries,Road No-26 Wagle Indusrial Estate, Thane, Thane (Municipal Corporation), Thane Mumbai Thane",Thane,MAHARASHTRA,,,
59352,SHABBIR TRADERS,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"Gala No P/16 S. No 121/1 AND 121/2,BALAJI INDUSTRIS PARK, TONDRE VILLAGE MIDC Taloja Road, BEHIND HINDALCO COMPANY, Taloja MIDC, Navi Mumbai, Raigad, Maharashtra, Navi Mumbai Raigarh(MH)",Raigarh(MH),MAHARASHTRA,,,
8971,UNIQUE RECYCLING,Available in MPCB Data,Recycler,Pending at applicant,Authorization,Gat No 287 Nanekarwadi Tal Khed Pune Pune,Pune,MAHARASHTRA,,,
6507,UNIVERSAL WASTE MANAGEMENT,Available in MPCB Data,Recycler,Pending at applicant,Authorization,B-10 DPK Comp Khairani Rd Sakinaka Mumbai Mumbai,Mumbai,MAHARASHTRA,,,
2775932,AQSA STAMPING,Available in MPCB Data,Refurbisher,Pending at applicant,Authorization,"Plot No 55 ,Rangara Industrial Estate,33/35,Kiravali (Adivali Old Thane Pune Road,Dahisar,Taluka Panvel,Dist Raigad Dahisar,Taluka Panvel,Dist.Raigad Raigarh(MH)",Raigarh(MH),MAHARASHTRA,,,
822153,GO GREEN E-RECYCLING,Available in MPCB Data,Refurbisher,Pending at applicant,Authorization,SR. NO. 70 PANVEL SHIL ROAD VILLAGE DAHISAR PIMPRI TAL. & DIST. THANE PANVEL Thane,Thane,MAHARASHTRA,,,
537932,MASSTECH RECYCLING LLP,Available in MPCB Data,Refurbisher,Pending at applicant,Authorization,"Gala No 56,58,59 & 82,CTS No 118 MJK Compound, Khairani Road, Saki Naka, Andheri Andheri East Mumbai",Mumbai,MAHARASHTRA,,,
38248,MOONLAXMI-E-WASTE & RECYCLING SOLUTIONS LLP,Available in MPCB Data,Refurbisher,Pending at applicant,Authorization,"Plot No 1125, Sr. No. 15/1/1, Arihant Marg, Near Sukhada Vardha Society, Sukhasagar Nagar, Katraj, Haweli, District Pune – 411046 Katraj, Haweli Pune",Pune,MAHARASHTRA,,,
59236,PRABHUNATH TRADERS,Available in MPCB Data,Refurbisher,Pending at applicant,Authorization,"survey number 314, hissa no 2, uruli devachi, taluka haveli, dist pune pune Pune",Pune,MAHARASHTRA,,,
967935,RECYCLE MITRA ECO CARE LLP,Available in MPCB Data,Refurbisher,Pending at applicant,Authorization,"Plot No. A-368, Floor No. 1 Wagle Industrial Estate, Tal. & Dist. Thane Thane Thane",Thane,MAHARASHTRA,,,
1118064,SADAB TRADERS,Available in MPCB Data,Refurbisher,Pending at applicant,Authorization,"Plot No. 1154, Gala No. B-3, Gat No. 140/2A/1, Village Vilholi, Behind Jain Temple Tal & Dist. Nashik 422010 NASHIK Nashik",Nashik,MAHARASHTRA,,,
2853999,S. K. ENTERPRISES,Available in MPCB Data,Refurbisher,Pending at applicant,Authorization,"SK Enterprises Plot no. 134/1, 183 Industrial Estate, Pune Road, Kedgaon, Industrial Estate Ahmednagar Ahmed Nagar",Ahmed Nagar,MAHARASHTRA,,,
12782,TRISHULIN ENTERPRISES,Available in MPCB Data,Refurbisher,Pending at applicant,Authorization,"Servey no. 905/1 Plot no. 42, Musalgaon Sinnar Nashik",Nashik,MAHARASHTRA,,,
