Company Name,Capacity Allotted (MT/A),Email Address,Phone Number,Type
Arihant E Recycling Pvt Ltd,2000.0,info@arihantinfo.com,9820350406,Recycler
WE-The Recycling Company,50.0,payalc25@gmail.com,7718824575,Refurbisher
Techeco E-Waste Namo LLP,9360.0,bhushan@techeco.co.in,9769117070,Recycler
Threco Recycling LLP,3000.0,karan@threco.com,9820622802,Recycler
Hi-Tech Recycling (I) Pvt. Ltd,1410.0,manish@hitechrecycling.i n,9860602601,Recycler
Justdispose Recycling Pvt Ltd. (Unit- II),1200.0,hemant@justdispose.com,9833030124,Recycler
E-Incarnation Recycling Pvt. Ltd.,950.0,info@e-incarnation.com,2266251300,Recycler
"Eco Recycling Limited
 Bldg
 Vasai (E)",18000.0,facility2@ecoreco.com,9920084847,Recycler
"Evergreen Recyclekaro India Pvt.
 Ltd.",7500.0,rajesh@recyclekaro.com,9967310007,Recycler
Eco Reset Private Limited,10200.0,ecoreset41@gmail.com,7021819071,Recycler
S V Greentech Private Limited,8500.0,rihanmalik986@gmail.com,9371106436,Recycler
"Global E-Recycling Pvt Ltd.
 Wakanpada Dhaniv",400.0,rahimkhan9833542199@g mail.com,7208644016,Recycler
Green IT Recycling Center Pvt Ltd,365.0,rth_raj@hotmail.com,9822356062,Recycler
Green India E-Waste & Recycling OPC Pvt. Ltd.,3000.0,info@gier.co.in,8080414447,Recycler
Suritex Pvt. Ltd.,2360.0,info@suritex.co.in,9049981347,Recycler
Green Valley E Waste Management Pvt Ltd,596.0,alam@gvewaste.com,9821021395,Recycler
Sayma E-Waste Solutions,1000.0,saymaewastesolutions@g mail.co m,9922763959,Recycler
Green Valley E-waste Management Pvt. Ltd.,596.0,alam@gvewaste.com,9821021395,Recycler
Western Recycler,400.0,hasimansari229@gmail.co m,9967865052,Recycler
Tarai Projects Pvt. Ltd.,560.0,taraiprojects2018@gmail. com,7020687230,Recycler
Jeenali Trading & Comm. Serv. Pvt. Ltd.,7847.0,millennium005@gmail.co m,9967970333,Recycler
"Unique Recycling
 Post Nanekarwadi",180.0,mumatajhmd@gmail.com,9689400817,Recycler
New India Recyclers,150.0,info.newindiarecycle@gm ail.com,8928934040,Recycler
"Electrofine Recycling (OPC) Private Limited
 Gut",5000.0,electrofinerecycling@gmai l.com,7397056189,Recycler
"Binbay Recycling Pvt. Ltd.
 Village Gauripada",3770.0,binbayrecycling@gmail.co m,9819633997,Recycler
"Greenbay Enterprises
 Shed
 Katraj Saswad Road",183.0,egreenbay17@gmail.com,9623300378,Recycler
Green Life E Waste Recycling Pvt Ltd ,660.0,greenlifeewaste@gmail.co m,8097800830,Recycler
"Bhangarwala Waste Management Pvt Ltd.
 New S.",6485.0,bwmgroup23@gmail.com,8655113333,Recycler
"Comnet E-Waste LLP
 Gut",1000.0,pravinhajare@gmail.com,9665520010,Recycler
"Ecolayer E-Waste Recycling
 S.
 Village Poman",2000.0,starcomputar22@gmail.co m,9820750836,Recycler
Bhagyalakshmi Laboratories Limited,21000.0,bhagyalakshmi_laboratries @yahoo.com,9820700517,Recycler
Eco-Recycling Ltd.,7200.0,inspection@ecoreco.com,9867729662,Recycler
"GNR Recycling India Pvt Ltd
 S.",300.0,lokesh.k@gnrindia.com,9822334823,Recycler
E-Survival Recycling Private Limited,33000.0,esurvival2022@gmail.com,9820802032,Recycler
"Green Enviro Management
 Solutions LLP",594.0,mail.gps@gmail.com,9766110860,Recycler
"Trans Thane Creek Waste
 Management Association
 P-128",300.0,ttcwmam@gmail.com,9082565312,Recycler
Mercury Metal Industries (Unit III),200.0,mmimahadd35@gmail.com,9892802451,Recycler
"Aman E-Waste Recyclers Pvt Ltd.
 S.",10500.0,INFO@AMANRECYCLERS.CO M,9833721472,Recycler
ECO Friend Industries,1240.0,"ingle.mamata@raoagroup
 .com",9821151069,Recycler
Pune Green Electronic Waste Recycler Pvt. Ltd.,500.0,"punegreensewaste@gmail
 .com",9922071877,Recycler
