Company Name,Capacity Allotted (MT/A),Email Address,Phone Number,Type
"Arihant E Recycling Pvt Ltd, Gut No.307/1, Shahada Road, Dondaicha, Tal. Sindkheda, Dist. Dhule.",2000.0,info@arihantinfo.com,9820350406,Recycler
"WE-The Recycling Company, H. No. 2212, Sr. No. 9-1 N, Behind Essar Petrol Pump, Village Borpada, Tal. Bhiwandi, Dist. Thane",50.0,payalc25@gmail.com,7718824575,Refurbisher
"Techeco E-Waste Namo LLP, Gat No. 155 B/2, Village Dhakambe, Tal. Dindori, Dist. Nashik",9360.0,bhushan@techeco.co.in,9769117070,Recycler
"Threco Recycling LLP, Survey No.
 153-3 & 149-1, Hedavli, Dist- Raigad.",3000.0,karan@threco.com,9820622802,Recycler
"Hi-Tech Recycling (I) Pvt. Ltd, Property No.193, Gat No. 89, Pune- Satara Road, Shindewadi, Tal: Bhor,
 Dist. Pune",1410.0,manish@hitechrecycling.i n,9860602601,Recycler
"Justdispose Recycling Pvt Ltd. (Unit- II), S. No. 42/5, Kaddu Industrial Estate, Sativali Phata, Vasai (E), Tal- Vasai, Dist-Palghar.",1200.0,hemant@justdispose.com,9833030124,Recycler
"E-Incarnation Recycling Pvt. Ltd. Plot No. J-56, MIDC Area, Tarapur, Boiser, Dist: Palghar, Maharashtra",950.0,info@e-incarnation.com,2266251300,Recycler
"Eco Recycling Limited,
 Bldg No. 1, Plot No. 5, S. No. 30B, Village Gokhiware,
 Vasai (E), Tal. Vasai, Dist. Palghar - 401208",18000.0,facility2@ecoreco.com,9920084847,Recycler
"Evergreen Recyclekaro India Pvt.
 Ltd., Gut. No. 113/A, Village Pali, Tal. Wada, Dist. Palghar",7500.0,rajesh@recyclekaro.com,9967310007,Recycler
"Eco Reset Private Limited, Plot No.
 19/1, Mouza Bhowari, Kamptee, Nagpur",10200.0,ecoreset41@gmail.com,7021819071,Recycler
"S V Greentech Private Limited, Gut No. 517/1, & 529, Village: Kelthan Tal. Wada, Dist. Palghar",8500.0,rihanmalik986@gmail.com,9371106436,Recycler
"Global E-Recycling Pvt Ltd., Plot No 2,3,4 Sr No 11 H No 1/1,
 Wakanpada Dhaniv, Palghar",400.0,rahimkhan9833542199@g mail.com,7208644016,Recycler
"Green IT Recycling Center Pvt Ltd, Plot No. D-222, MIDC Ranjangaon, Dist.- Pune - 412209",365.0,rth_raj@hotmail.com,9822356062,Recycler
"Green India E-Waste & Recycling OPC Pvt. Ltd., Survey No. 74, Hissa No. 1/A, House No. 500, Post Dahisar, Dist. Thane.",3000.0,info@gier.co.in,8080414447,Recycler
"Suritex Pvt. Ltd., Plot No. B-111, MIDC Industrial Area, Butibori, District - Nagpur.",2360.0,info@suritex.co.in,9049981347,Recycler
"Green Valley E Waste Management Pvt Ltd, Gut No. 525/10, Village- Ghonsai, Saza-Met, Tal. Wada, Ghonsai, Palghar - 421312",596.0,alam@gvewaste.com,9821021395,Recycler
"Sayma E-Waste Solutions, S. No. 323, Hissa no. 3, A Plot No. B-27, Urali Devashi, Tal. Haveli, Pune",1000.0,saymaewastesolutions@g mail.co m,9922763959,Recycler
"Green Valley E-waste Management Pvt. Ltd., Gut No. 525/10, Village Ghosai, Saza-Met, Tal. Wada, Dist.
 Palghar",596.0,alam@gvewaste.com,9821021395,Recycler
"Western Recycler, Sr. No. 8/2, Plot No. 633, Shilphata, Panvel Road, Dahisar, Tal. & Dist. Thane",400.0,hasimansari229@gmail.co m,9967865052,Recycler
"Tarai Projects Pvt. Ltd., Gut No. 14/1/A, Atar Mala, Near Shivsagar Hotel, Manchar, Tal. Machar, Dist. Pune",560.0,taraiprojects2018@gmail. com,7020687230,Recycler
"Jeenali Trading & Comm. Serv. Pvt. Ltd., Gut No. 68/1, Village Khupri, Tal. Wada, Dist. Palghar",7847.0,millennium005@gmail.co m,9967970333,Recycler
"Unique Recycling, Gut No. 287, At
 Post Nanekarwadi, Tal. Khed, Dist. Pune",180.0,mumatajhmd@gmail.com,9689400817,Recycler
"New India Recyclers
 Plot No. 5 & 6, Gut No. 849/2728, Village Ambethan,
 Tal. Khed, Dist. Pune",150.0,info.newindiarecycle@gm ail.com,8928934040,Recycler
"Electrofine Recycling (OPC) Private Limited,
 Gut No. 386, Village Shindi Khurd, Tal. Maan, Dist. Satara",5000.0,electrofinerecycling@gmai l.com,7397056189,Recycler
"Binbay Recycling Pvt. Ltd., Sr. No. 48, Unit No. 6 & 7, Agarwal Industrial Premises.
 Village Gauripada, Vasai (E), Dist.
 Palghar",3770.0,binbayrecycling@gmail.co m,9819633997,Recycler
"Greenbay Enterprises,
 Shed No. 1, Ground Floor, Ganesh Nagar, Phursungi,
 Katraj Saswad Road, Pune
 Tal. Haveli, Dist. Pune",183.0,egreenbay17@gmail.com,9623300378,Recycler
"Green Life E Waste Recycling Pvt Ltd , Plot No. 11, Gat No. 40, Karodi, Aurangabad,
 Tal. & Dist. Aurangabad",660.0,greenlifeewaste@gmail.co m,8097800830,Recycler
"Bhangarwala Waste Management Pvt Ltd.,
 New S. No. 80/2, Dahisar Mori, Tal. & Dist. Thane",6485.0,bwmgroup23@gmail.com,8655113333,Recycler
"Comnet E-Waste LLP,
 Gut No. 410, At Post Kaudgaon, Tal. & Dist. Ahmednagar",1000.0,pravinhajare@gmail.com,9665520010,Recycler
"Ecolayer E-Waste Recycling,
 S. No. 180/1, Gala No. 2, Opp. Mathura Hotel,
 Village Poman, Tal. Vasai, Dist. Palghar",2000.0,starcomputar22@gmail.co m,9820750836,Recycler
"Bhagyalakshmi Laboratories Limited, Plot No 33,34,35 &36, Shri Shakti Udyog Nagar, Opp St. John College, Veour Village, Palghar, Tal.
 & Dist. Palghar",21000.0,bhagyalakshmi_laboratries @yahoo.com,9820700517,Recycler
"Eco-Recycling Ltd., Eco-House, Near Top Glass Enclave, Bhoipada, Near Range Office, Sativali Road, Vasai (E), Dist. Palghar",7200.0,inspection@ecoreco.com,9867729662,Recycler
"GNR Recycling India Pvt Ltd,
 S. No. 35/4, Dagade Wasti, Pisoli, Pune, Tal. Haveli, Dist. Pune",300.0,lokesh.k@gnrindia.com,9822334823,Recycler
"E-Survival Recycling Private Limited, Gut No. 195/1/B/1, Village Chincholikati, Tal. Mohol, Dist.
 Solapur",33000.0,esurvival2022@gmail.com,9820802032,Recycler
"Green Enviro Management
 Solutions LLP, S. No. 51, Village Kanhe, Tal. Mawal, Dist. Pune",594.0,mail.gps@gmail.com,9766110860,Recycler
"Trans Thane Creek Waste
 Management Association
 P-128, Shil-Mahape Road, Near L&T Infotech, Mahape, Navi Mumbai. Thane",300.0,ttcwmam@gmail.com,9082565312,Recycler
"Mercury Metal Industries (Unit III), Plot No. D-35, Mahad Industrial Area, Mahad, Tal. Mahad, Dist.
 Raigad",200.0,mmimahadd35@gmail.com,9892802451,Recycler
"Aman E-Waste Recyclers Pvt Ltd.,
 S. No. 20/5, Plot No. 79 to 89, Aamgaon,
 Tal. Talasari, Dist. Palghar",10500.0,INFO@AMANRECYCLERS.CO M,9833721472,Recycler
"ECO Friend Industries, Plot No. A- 205, TTC Industrial Area, MIDC Pawane, Navi Mumbai, Tal. & Dist.
 Thane",1240.0,"ingle.mamata@raoagroup
 .com",9821151069,Recycler
"Pune Green Electronic Waste Recycler Pvt. Ltd., S. No. 29/9, Pansare Nagar, Yewlewadi, Pune, Tal. Haveli, Dist. Pune",500.0,"punegreensewaste@gmail
 .com",9922071877,Recycler
"E-Frontline Recycling Pvt. Ltd. Gat No. 183/1, Lokhandwala
 Warehouse, Near Bavi Petrol Pump, Hyderabad Road, At Post Doddi, Tal. South Solapur, Dist. Solapur",40000.0,efrplserver@gmail.com,8980300024,Recycler
"JRS Recycling Solutions Pvt. Ltd. Gala No. 428, S. No. 74, Hissa No. 2A, Garib Nawaz Estate, Old Mumbai Pune Road, Dahisar, Dist. Thane",1044.0,shahid.jrsrecycling@gmail.co m,9004126767,Recycler
"Kuldeep Green Recyclers Private Limited, Survey No. 569-B, Unit- 1/A, At Post Velu, Tal. Bhor, Dist. Pune",1200.0,ewastekuldeep@gmail.com,7733995555,Refurbisher
