RecyclerID,Company Name,Info,Status,Type,Address,District,State
223,ADV METAL COMBINE PVT. LTD.,Recycler,Pending at applicant,Authorization,SHED 25 BIGC RASMADA  DURG Durg,Durg,CHHATTISGARH
1650763,A K M RECYCLERS,Recycler,Pending at applicant,Authorization,"WARE HOUSE NO.467/1,S.NO.180/12/1 VILLAGE DHANSAR PANVEL Raigarh(MH)",Raigarh(MH),MAHARASHTRA
9681,ALFA TRADING COMPANY,Recycler,Pending at applicant,Authorization,"Mohd Estate, Pimpri Dahisar Mori, Mumbra Panvel Road Thane Thane",Thane,MAHARASHTRA
246,Anubahv e-waste recycler india llp,Recycler,Pending at applicant,Authorization,f-44 upsida industrial area kosi kotwan ext-1 mathura Mathura,Mathura,UTTAR PRADESH
33995,Arlington Information Systems Pvt Ltd,Recycler,Pending at applicant,Authorization,"C-13, Site IV Sahibabad Industrial Area Ghaziabad Ghaziabad",Ghaziabad,UTTAR PRADESH
2707222,ARP RECYCLING PRIVATE LIMITED,Recycler,Pending at applicant,Authorization,"KHASRA NO.399, RELIANCE ROAD PANCHSHEEL NAGAR HAPUR Hapur",Hapur,UTTAR PRADESH
526563,Ash Recyclers,Recycler,Pending at applicant,Authorization,Unit 2 B-3 KSSIDC Industrial Estate Hosakote Bangalore,Bangalore,KARNATAKA
5088,BHARAT OIL AND WASTE MANAGEMENT LTD.,Recycler,Pending at applicant,Authorization,"Bharat Oil &amp; Waste Management Limited Mauza Mukimpur, Roorkee Lakshar Road Roorkee Haridwar",Haridwar,UTTARAKHAND
5267,BHARAT OIL COMPANY (I) REGD.,Recycler,Pending at applicant,Authorization,"BHARAT OIL COMPANY (INDIA) REGD. E-18, Site-IV, Sahibabad Industrial Area, Ghaziabad Ghaziabad",Ghaziabad,UTTAR PRADESH
14694,BLACK DIAMOND CEMENTS PRIVATE LIMITED,Recycler,Pending at applicant,Authorization,"Vill- Humainpur, Naraingarh Road Lalru SAS Nagar, Punjab Mohali Mohali",Mohali,PUNJAB
2686709,"Circularity Solutions Pvt Ltd, Nashik",Recycler,Pending at applicant,Authorization,Gut No 21/1 Sarul Nashik Nashik,Nashik,MAHARASHTRA
27214,COMNET E WASTE LLP,Recycler,Pending at applicant,Authorization,Gat No 410 Hajare Wasti Kaudgaon Tal Dist Ahmednagar 414002 Ahmednagar Ahmed Nagar,Ahmed Nagar,MAHARASHTRA
9735,DRON E WASTE SOLUTION,Recycler,Pending at applicant,Authorization,"Plot No. 56, GIDC Gozariya  Gozariya Mahesana",Mahesana,GUJARAT
236,ECO GREEN RECYCLING,Recycler,Pending at applicant,Authorization,"PLOT N0.4, NEAR DYNAMIC TEXTILE OZAR ROAD, MOTA PONDHA VALSAD Valsad",Valsad,GUJARAT
5355,ELGREEN RECYCLING PRIVATE LIMITED,Recycler,Pending at applicant,Authorization,"Plot no. G 33, Sector 63, Industrial Area, Noida, Uttar Pradesh, GAUTAM BUDHNAGAR, 201301  Plot no G 33 Sector 63 Industrial Area Noida Uttar Pradesh GAUTAM BUDHNAGAR 201301 Gautam Buddha Nagar",Gautam Buddha Nagar,UTTAR PRADESH
90423,Enviropro Sustainability Private Limited,Recycler,Pending at applicant,Authorization,"Sy No 159U, No-8-155AA/A1, Kothur(V), Kothur(M Rangareddy District Rangareddy K.V.Rangareddy",K.V.Rangareddy,TELANGANA
577983,Epragathi Recycle Private Limited,Recycler,Pending at applicant,Authorization,"No.F 29,SKS Industrial Area,Sri MadhopurTehsil,Sikar,Jaipur, Rajasthan332404  Ringus Sikar",Sikar,RAJASTHAN
2873460,E TREE TECHNOLOGIES,Recycler,Pending at applicant,Authorization,"PLOT NO. S-65/1, SY.NO.76/P & 77/P, E CITY, MAHESHWARAM RANGA REDDY DISTRICT HYDERABAD K.V.Rangareddy",K.V.Rangareddy,TELANGANA
