RefurbisherID,Company Name,Info ,Status,Type,Address,District,State
1851811,A K BARRELS,Refurbisher,Pending at applicant,Authorization,"GALA NO 4 AND 5,NISAR COMPOUND,KHOT BANGLOW,BHANDARLI VILLAGE  THANE Thane",Thane,MAHARASHTRA
617321,Anand Computer Systems,Refurbisher,Pending at applicant,Authorization,"Shop No 5 to 9, B 8 to B 11,1, 19, 20 and godown Sadashiv Peth, Swaipuram Building Pune Pune",Pune,MAHARASHTRA
2775932,Aqsa Stamping,Refurbisher,Pending at applicant,Authorization,"Plot No 55 ,Rangara Industrial Estate,33/35,Kiravali (Adivali Old Thane Pune Road,Dahisar,Taluka Panvel,Dist Raigad Dahisar,Taluka Panvel,Dist.Raigad Raigarh(MH)",Raigarh(MH),MAHARASHTRA
43835,ARIHANT E RECYCLING PRIVATE LIMITED,Refurbisher,Pending at applicant,Authorization,"GUT NO 307/1, DONDAICHA, AT POST DONDAICHA, CITY DONDAICHA-WARWADE DHULE Dhule",Dhule,MAHARASHTRA
543090,Attero Recycling Pvt. Ltd,Refurbisher,Pending at applicant,Authorization,"Khasra No. 172 Ka &173, Raipur Industrial Area, Bhagwanpur, Roorkee, Distt-Haridwar, Uttarakhand  Roorkee Haridwar",Haridwar,UTTARAKHAND
38105,Bombay Recyclers Private Limited,Refurbisher,Pending at applicant,Authorization,"Gala No. P 17-18, S. No. 121/1, 121/2 Balaji Industrial Park, Tondre Village, Behind Hindalco, MIDC Taloja Panvel Panvel Raigarh(MH)",Raigarh(MH),MAHARASHTRA
49812,BRP INFOTECH PRIVATE LIMITED,Refurbisher,Pending at applicant,Authorization,"Plot No: F-394,UPSIDC Industrial Area Phase-1, M.G Road HAPUR Hapur",Hapur,UTTAR PRADESH
2364659,BSQUERE EWASTE RECYCLERS,Refurbisher,Pending at applicant,Authorization,"Gala No. 800, Server No.69/3, Siddhivinayak Market Mohammadiya Estate, Pimpri, Thane Thane Thane",Thane,MAHARASHTRA
819733,C S MITRA E-WASTE MANAGEMENT,Refurbisher,Pending at applicant,Authorization,"SF No Survey No 952/5E, SIRUPUZHALPETTAI VILLAGE GUMMIDIPOONDI TALUK TIRUVALLUR  TIRUVALLUR Tiruvallur",Tiruvallur,TAMIL NADU
2882922,E-CLEAN E-GREEN RECYCLING,Refurbisher,Pending at applicant,Authorization,"Sr. No. 94, Gala No. 3,4, Umar Compound Jabar Pada, Nalasopara, Vasai, Dist Palghar Vasai Palghar",Palghar,MAHARASHTRA
87587,EcoTantra LLP,Refurbisher,Pending at applicant,Authorization,77/6 Vishnu Malti Industrial Estate. Besides HT Switchgears Shivane. Pune Pune Pune,Pune,MAHARASHTRA
1788513,ENVIRO TECH IT SOLUTIONS,Refurbisher,Pending at applicant,Authorization,"SURVEY NO 136, SHIVA FARM, BBMP WARD NO-102 MAGADI MAIN ROAD, VRUSHABAVATHINAGAR Bengaluru (Bangalore) Urban, Karnataka, 560079 Bangalore Bangalore",Bangalore,KARNATAKA
83276,Erecon Recycling Pvt.Ltd,Refurbisher,Pending at applicant,Authorization,Gut No.94 Plot No 02 Chitegaon Paithan Road Aurangabad Gut No.94 Plot No 02 Chitegaon Paithan Road Aurangabad Aurangabad Aurangabad,Aurangabad,MAHARASHTRA
2681017,E-Waste Recyclers India,Refurbisher,Pending at applicant,Authorization,"E-49, UPSIDC INDUSTRIAL AREA KOSI KOTWAN  MATHURA Mathura",Mathura,UTTAR PRADESH
13549,F1 INFO SOLUTIONS & SERVICES PRIVATE LIMITED,Refurbisher,Pending at applicant,Authorization,"Plot No D-245,, 1,2,3,4, with basement, D-245,, sector 63, Noida Gautam Buddha Nagar",Gautam Buddha Nagar,UTTAR PRADESH
2813292,Gauvins Green Management Private Limited,Refurbisher,Pending at applicant,Authorization,KHEWAT NO 266 VILLAGE HARISINGHPURA TEHSIL GHARAUNDA KARNAL Karnal,Karnal,HARYANA
2100525,GLOBAL TRADERS,Refurbisher,Pending at applicant,Authorization,GLOBAL TRADERS KANDANTHARA ALLAPRA P O PERUMBAVOOR ERNAKULAM PERUMBAVOOR Ernakulam,Ernakulam,KERALA
822153,GO GREEN E-RECYCLING,Refurbisher,Pending at applicant,Authorization,SR. NO. 70 PANVEL SHIL ROAD VILLAGE DAHISAR PIMPRI TAL. & DIST. THANE PANVEL Thane,Thane,MAHARASHTRA
852140,Green Bird Recycling,Refurbisher,Pending at applicant,Authorization," 223, Vill- Mangarh,  MACHHIWARA ROAD, Kohara,, Ludhiyana, Punjab  LUDHIANA Ludhiana",Ludhiana,PUNJAB
875546,Green India E-waste & Recycling OPC Pvt Ltd,Refurbisher,Pending at applicant,Authorization,"S. No. 7, Hissa No. 1/B, Post Dahisar Mumbai Thane",Thane,MAHARASHTRA
63489,Green IT Recycling Centre Pvt Ltd,Refurbisher,Pending at applicant,Authorization,D222 MIDC Ranjangaon Near Dhananjay Metal Ranjangaon Pune,Pune,MAHARASHTRA
13499,GREENLET RECYCLER PRIVATE LIMITED,Refurbisher,Pending at applicant,Authorization,GREENLET RECYCLER PVT LTD G-15(G) SOTNALA INDUSTRIAL AREA BHEROR Alwar,Alwar,RAJASTHAN
38650,Green Web Recycling,Refurbisher,Pending at applicant,Authorization,H1-865 INDUSTRIAL AREA MANDA-II MANDA TEHSIL CHOMU jaipur Jaipur,Jaipur,RAJASTHAN
