RecyclerID,Company Name,Info,Status,Type,Address,District,State
227,3R RECYCLER,Recycler,Approved by CPCB Authority,Authorization,"Plot No. A-61/1, Industrial Area, Sikandrabad, Bulandshahr, Uttar Pradesh- 203206 Uttar Pradesh Sikandrabad Bulandshahr",Bulandshahr,UTTAR PRADESH
9726,3R RECYCLER PRIVATE LIMITED ,Recycler,Approved by CPCB Authority,Authorization,"A-61/2 SIKANDRABAD UPSIDC INDUSTRIAL AREA,NEAR GOODLUCK CONTRACTOR SIKANDRABAD INDUSTRIAL AREA BULANDSHAHR Bulandshahr",Bulandshahr,UTTAR PRADESH
180,3R RECYCLER PVT. LTD.,Recycler,Approved by CPCB Authority,Authorization,"392, Sector-8, IMT Manesar, Gurgaon, Haryana 122050  Gurugaon Gurgaon",Gurgaon,HARYANA
207,4R Recycling Pvt Ltd,Recycler,Approved by CPCB Authority,Authorization,"Shed No A-5, 3rd Stage, Peenya Industrial area, Nelagadirenahalli, Peenya, Bangalore Bangalore",Bangalore,KARNATAKA
13790,ABAAD DEVELOPERS PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,G1-747 RIICO INDUSTRIAL AREA CHOPANKI BHIWADI ALWAR RAJASTHAN 301019 ALWAR Alwar,Alwar,RAJASTHAN
126,Adatte E-Waste Management Pvt. Ltd,Recycler,Approved by CPCB Authority,Authorization,"F-120, Karoli Industrial Area Tapukara Extension Alwar Alwar",Alwar,RAJASTHAN
282,Adinath Recyclotronix Private Limited,Recycler,Approved by CPCB Authority,Authorization,Plot No 361 Industrial Estate HSIIDC Refinery Road  Panipat Panipat,Panipat,HARYANA
13837,ADS Recycling Private Limited,Recycler,Approved by CPCB Authority,Authorization,"Khasra No. 760,761,752,763 Peepli Khera road, Village Allipur Jijmana, Kharkhoda Meerut Meerut",Meerut,UTTAR PRADESH
223,ADV METAL COMBINE PVT. LTD.,Recycler,Pending at applicant,Authorization,SHED 25 BIGC RASMADA  DURG Durg,Durg,CHHATTISGARH
9447,AER WORLDWIDE INDIA PVT LTD,Recycler,Approved by CPCB Authority,Authorization,"774 Eladhanderi, Sadayankuppam Village, Manali New Town (Near Andarkuppam Checkpost) Chennai Tiruvallur",Tiruvallur,TAMIL NADU
2727479,AIRECO RECYCLERS PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"KHASHRA NO -192M , SADAR , SIKHERA , MUZAFFAR NAGAR DIST MUZAFFAR NAGER MUZAFFAR NAGER Muzaffarnagar",Muzaffarnagar,UTTAR PRADESH
