RecyclerID,Company Name,Info ,Status,Type,Address,District,State
227,3R RECYCLER,Recycler,Registration Granted,Authorization,"Plot No. A-61/1, Industrial Area, Sikandrabad, Bulandshahr, Uttar Pradesh- 203206 Uttar Pradesh  Sikandrabad 203206",Bulandshahr,UTTAR PRADESH
9726,3R RECYCLER PRIVATE LIMITED ,Recycler,Registration Granted,Authorization,"A-61/2 SIKANDRABAD UPSIDC INDUSTRIAL AREA,NEAR GOODLUCK CONTRACTOR SIKANDRABAD INDUSTRIAL AREA  BULANDSHAHR 203206",Bulandshahr,UTTAR PRADESH
180,3R RECYCLER PVT. LTD.,Recycler,Registration Granted,Authorization,"392, Sector-8, IMT Manesar, Gurgaon, Haryana 122050   Gurugaon 122050",Gurgaon,HARYANA
207,4R Recycling Pvt Ltd,Recycler,Registration Granted,Authorization,"Shed No A-5, 3rd Stage, Peenya Industrial area, Nelagadirenahalli, Peenya,  Bangalore 560058",Bangalore,KARNATAKA
13790,ABAAD DEVELOPERS PRIVATE LIMITED,Recycler,Registration Granted,Authorization,G1-747 RIICO INDUSTRIAL AREA CHOPANKI BHIWADI ALWAR RAJASTHAN 301019  ALWAR 301019,Alwar,RAJASTHAN
126,Adatte E-Waste Management Pvt. Ltd,Recycler,Registration Granted,Authorization,"F-120, Karoli Industrial Area Tapukara Extension  Alwar 301707",Alwar,RAJASTHAN
282,Adinath Recyclotronix Private Limited,Recycler,Registration Granted,Authorization,Plot No 361 Industrial Estate HSIIDC Refinery Road   Panipat 132103,Panipat,HARYANA
13837,ADS Recycling Private Limited,Recycler,Registration Granted,Authorization,"Khasra No. 760,761,752,763 Peepli Khera road, Village Allipur Jijmana, Kharkhoda  Meerut 245206",Meerut,UTTAR PRADESH
9447,AER WORLDWIDE INDIA PVT LTD,Recycler,Registration Granted,Authorization,"774 Eladhanderi, Sadayankuppam Village, Manali New Town (Near Andarkuppam Checkpost)  Chennai 600103",Tiruvallur,TAMIL NADU
2727479,AIRECO RECYCLERS PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"KHASHRA NO -192M , SADAR , SIKHERA , MUZAFFAR NAGAR DIST MUZAFFAR NAGER  MUZAFFAR NAGER 251001",Muzaffarnagar,UTTAR PRADESH
210,AKSHA RECYCLING AND WASTE MANAGEMENT PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"876, 1193-1195, 7.5 KM. JANSATH ROAD, VILL.- SHER NAGAR, GAUTAM BUDH NAGAR,  MUZAFFARNAGAR, 251001",Muzaffarnagar,UTTAR PRADESH
6936,Aman E Waste Recyclers Pvt LTD,Recycler,Registration Granted,Authorization,S No 20/5 Plot No 79 to 89 Aamgaon Talasari  Palghar 401606,Thane,MAHARASHTRA
14125,ANJANI EWASTE RECYCLING,Recycler,Registration Granted,Authorization,"Plot No. 101 Lohardaga Industrial Area, RIADA  Lohardaga 835302",Lohardaga,JHARKHAND
274,Anmol Paryavaran Sanrakshan Samiti,Recycler,Registration Granted,Authorization,"Kh. No. 85/2,87/1, Anmol Paryavaran Sanrakshan Samiti, Daulatpur ,Hazratpur Urf Budhwasahid, Tahsil- Roorkee  Haridwar 247662",Haridwar,UTTARAKHAND
2794332,ANVIANI SUSTAINABLE RECYCLING LLP,Recycler,Registration Granted,Authorization,"PLOT NO. F3 UPSIDA INDUSTRIAL AREA, GOPALPUR  SIKANDRABAD 203205",Bulandshahr,UTTAR PRADESH
9215,Aptus E Waste Recycling pvt ltd ,Recycler,Registration Granted,Authorization,No 68 B HOOTGALLI INDUSTRIAL AREA  Mysore 570018,Mysore,KARNATAKA
5358,ARIHANT E RECYCLING PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"GUT NO 307/1,, DONDAICHA, AT POST DONDAICHA, CITY DONDAICHA-WARWADE, Dhule, Maharashtra, 425408   DHULE 425408",Dhule,MAHARASHTRA
753493,AR RECYCLERS PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"KHASRA NO 1775,JAULI JANSATH PARGANA,NAGLA BUZURG MUZAFFARNAGAR,UTTAR PRADESH 251308  MUZAFFARNAGAR 251308",Muzaffarnagar,UTTAR PRADESH
58995,ARSH RECYCLING PRIVATE LIMITED,Recycler,Registration Granted,Authorization,F-203 UPSIDC INDUSTRIAL AREA MG ROAD GHAZIABAD GHAZIABAD  HAPUR 201001,Hapur,UTTAR PRADESH
6142,ASNCO INDIA PVT LTD,Recycler,Registration Granted,Authorization,"KH.150151,207,211,212,213,394,199,200 VILLAGE-KHUJNAWAR  SAHARANPUR 247662",Saharanpur,UTTAR PRADESH
7709,ATTERO RECYCLING PRIVATE LIMITED,Recycler,Registration Granted,Authorization,KHASRA NO 173 RAIPUR INDUSTRIAL AREA BHAGWANPUR DIST HARIDWAR  ROORKEE 247661,Haridwar,UTTARAKHAND
220,BASANT CLEANENVIRO LIMITED,Recycler,Registration Granted,Authorization,"Plot No 67 GIDC Kadi, Kadi Budasan Road  Kadi 382715",Mahesana,GUJARAT
7826,BEIL INFRASTRUCTURE LIMITED,Recycler,Registration Granted,Authorization,PLOT NO 9701-16 GIDC ESTATE  ANKLESHWAR 393002,Bharuch,GUJARAT
204,BEST E-WASTE RECYCLERS PRIVATE LIMITED,Recycler,Registration Granted,Authorization,KIADB INDUSTRIAL AREA 2nd CROSS NO 459 VASANTHNARSAPURA KORA TUMKUR  TUMKUR 572138,Tumkur,KARNATAKA
5187,Bhangarwala Waste Management Pvt Ltd,Recycler,Registration Granted,Authorization,New Survey No-80/2 Plot No-13  JUNA Survey No-245 Dahishar Mori  Walivali  Thane 421204,Thane,MAHARASHTRA
13931,BHANU METAL INDUSTRIES,Recycler,Registration Granted,Authorization,"Khamar  P.O-Rajarhat-Bishnupur, P.S-Rajarhat, 24 Parganas North P.S-Rajarhat, 24 Parganas North  Bishnupur 700135",North 24 Parganas,WEST BENGAL
2827352,BINBAG RECYCLING SERVICES PVT LTD,Recycler,Registration Granted,Authorization,INDUSTRIAL ESTATE NATHKUCHI TIHU  TIHU 781355,Nalbari,ASSAM
7494,Binbay Recycling Private Limited,Recycler,Registration Granted,Authorization,"Binbay House. Survey  No 48. Unit No 1.2.3.6.7 Agarwal Industrial Premises, Village- Gauraipada,  Vasai East 401208",Thane,MAHARASHTRA
281,Bright E Waste Recycling india,Recycler,Registration Granted,Authorization,Khasra num 512 village Ganeshpur Tehsil Mawana Distt. Meerut  Mawana 250404,Meerut,UTTAR PRADESH
7549,BRP INFOTECH PVT LTD,Recycler,Registration Granted,Authorization,F-394 UPSIDC INDU AREA PHASE-1 MASSURI GULAWATI ROAD HAPUR-245101   HAPUR 245101,Ghaziabad,UTTAR PRADESH
7979,BRP INFOTECH PVT LTD,Recycler,Registration Granted,Authorization,F-381 UPSIDC INDU AREA PHASE-1 MG ROAD HAPUR  HAPUR 245101,Hapur,UTTAR PRADESH
1120219,B.S.M.R METALS,Recycler,Registration Granted,Authorization,"Plot No 6, 2nd Main Road 2nd Cross KSSIDC Industrial area Veersandra 2nd stage Attibele hobli  Bangalore 560099",Bangalore,KARNATAKA
1709467,CARBIOS ECO WASTE MANAGEMENT PRIVATE,Recycler,Registration Granted,Authorization,"Nelamangala, Plot No 30-P4-1, In Sy. no. Part of 63 & 104 Dabaspel1 Phase Industrial Area, Yedehall, Sompura Nelamangala  Nelamangala 562123",Bangalore,KARNATAKA
7657,Cerebra Integrated Technologies Ltd,Recycler,Registration Granted,Authorization,"Cerebra Integrated Technologies Ltd. Plot No 41 to 46 KIADB Industrial Rd, Appasandra Village, Narsapura Hobli, Narasapura  Kolar 563133",Kolar,KARNATAKA
8392,Circularity Solutions Private Limited,Recycler,Registration Granted,Authorization,"Khasra No.95, 96 Sekhera Road  Modinagar 201204",Ghaziabad,UTTAR PRADESH
187,CLEAN INDIA RECYCLING PVT LTD,Recycler,Registration Granted,Authorization,"KHASRA NO-737,738,739,VILLAGE BIJOLI PARGANA SARAVA PIPLI KHEDA MEERUT   MEERUT 250002",Meerut,UTTAR PRADESH
9418,COMMUNICATIONS TEST DESIGN INDIA PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"NO. 48, 2ND PHASE, PEENYA INDUSTRIAL AREA PEENYA  Bengaluru (Bangalore) Urban 560058",Bangalore,KARNATAKA
185,Coral Communications and Networks P Ltd,Recycler,Registration Granted,Authorization,"8E, KIADB INDUSTRIAL ESTATE, HOSKOTE INDUSTRIAL AREA, BANGALORE-562114 Bangalore  Bangalore 562114",Bangalore Rural,KARNATAKA
501676,COSMOS RECYCLING PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"MULLANPUR ROAD, LHS, OPPOSITE DASHMESH DHARAM KANDA VPO HAMBRAN, LUDHIANA  LUDHIANA 141110",Ludhiana,PUNJAB
114,Cynosure Recycling Private Limited,Recycler,Registration Granted,Authorization,"Khasra No. 64, Village Peeplikhera, Pargana Sarawa, Meerut, Uttar Pradesh, 250002   Meerut 250002",Meerut,UTTAR PRADESH
1726844,Cynosure Recycling Private Limited-Unit II(HYD,Recycler,Registration Granted,Authorization,"Survey No 3/LU/1,3/RU,3/LU,303/AA, Hari OM Pipes Road Kethireddypally Village Grampanchayat,Balanagar Mandal, Mahabubnagar  Hyderabad 509202",Mahabub Nagar,TELANGANA
14718,DESHWAL WASTE MANAGEMENT PVT LTD,Recycler,Registration Granted,Authorization,PLOT NO 15 SECTOR 5 IMT MANESAR GURGAON GURUGRAM HARYANA 122052 PLOT NO 15 SECTOR 5 IMT MANESAR GURGAON GURUGRAM HARYANA 122052  GURGAON GURUGRAM 122052,Gurgaon,HARYANA
5234,DUSTMAN WASTE MANAGEMENT & RECYCLING PVT,Recycler,Registration Granted,Authorization,"No 176/1, MAMBAKKAM VILLAGE, SRIPERUMBUDUR TALUK,   KANCHIPURAM DISTRICT 602106",Kanchipuram,TAMIL NADU
2814474,E2E RECYCLING BUSINESS PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"PLOT NO 281,2ND PHASE, VASANTHANARASAPURA INDUSTRIAL AREA VASANTHANARASAPURA , KORATAGERE, TUMAKURU  TUMAKURU 572129",Tumkur,KARNATAKA
9679,Eali Recyclers ,Recycler,Registration Granted,Authorization,"Near Pirana Gate, Survey No 730 Old Survey No 225 Plot No 3, Giriraj Industrial Park 2, Ode-Paldi Kankaj Road, Tal Daskroi, Paldi Kankaj, Ahmedabad, Gujarat, 382210  AHMEDABAD 382210",Ahmedabad,GUJARAT
12536,EARTH CARE E-WASTE PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"15,Sy.No.37,1st Phase, Kengeri Hobali, Kumbalgudu Industrial Area Bengaluru 15,Sy.No.37,1st Phase, Kengeri Hobali, Kumbalgudu Industrial Area Bengaluru  Bangalore 560074",Bangalore,KARNATAKA
7647,Earth Sense Recycle Private Limited,Recycler,Registration Granted,Authorization,"Printech Park Cluster 1st Phase, Plot No A17, Kanakapura Taluk, KIADB Industrial Area Harohally Village Han KIADB Industrial Area, Harohalli, Ramanagara, Karnataka, 562112  Bangalore 562112",Bangalore Rural,KARNATAKA
112,Earth Sense Recycle Private Limited,Recycler,Registration Granted,Authorization,"Plot No:37, TSIIC Industrial Park, Mankal, Maheshwaram (M), Rangareddy District  Hyderabad 501359",K.V.Rangareddy,TELANGANA
8019,EARTHZONE RECYCLING PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"Khasra no - 788,790B, Hapur Road ALLIPUR JIMJMANA, MEERUT  MEERUT 245206",Meerut,UTTAR PRADESH
6755,E Box Recyclers,Recycler,Registration Granted,Authorization,Shed No B-3 KSSIDC Industrial Area Veerasandra 2nd Stage Huskur Road Electronic City  Bangalore 560100,Bangalore,KARNATAKA
231,Eco Fly Ewaste Recycling Pvt. Ltd,Recycler,Registration Granted,Authorization,"Khasra No-26 -Village -Pipli Khera, Bhamanpura Road, Phaphunda, Uttar Pradesh   Merrut 250002",Meerut,UTTAR PRADESH
8911,Eco Friend Industries,Recycler,Registration Granted,Authorization,"A205 TTC MIDC Thane Belapur Rd., Pawane  Navi Mumbai 400710",Thane,MAHARASHTRA
14014,ECO GLOBE E WASTE RECYCLERS,Recycler,Registration Granted,Authorization,"Ground floor No-87, 2nd phase2nd sector Bidadi Industrial Area Ramanagara Ground floor No-87, 2nd phase2nd sector Bidadi Industrial Area Ramanagara  Ramanagar 562109",Ramanagar,KARNATAKA
5486,ECO GREEN RECYCLING PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"Khasra No.193/1, 199/1 and 199/2,, Noorpur Bangar Bajna, Tehsil Maant, Mathura, Uttar Pradesh, 281201 Noorpur Bangar Bajna, Tehsil Maant  Mathura 281201",Mathura,UTTAR PRADESH
17166,Ecolayer E Waste Recycling,Recycler,Registration Granted,Authorization,"GALA NO 2 OPP. MATHURA HOTEL VILLAGE POMAN, VASAI PALGHAR, POMAN,PALGHAR  VASAI 401208",Mumbai,MAHARASHTRA
118,ECOLI WASTE MANAGEMENT PVT LTD,Recycler,Registration Granted,Authorization,"Plot No. 87 to 92, Sabar Industrial Park Pvt Ltd Vill: Asal, Tal: Bhiloda, Dist: Arvalli  BHILODA 383355",Sabarkantha,GUJARAT
198,ECO RECYCLING LIMITED,Recycler,Registration Granted,Authorization,"Eco House, S No 22, H No 6 and 7, Near Top Glass Enclave, Bhoidapada Near Range Office, Sativali Road, Vasai East, Dist Palghar  Vasai 401208",Thane,MAHARASHTRA
21320,Eco Recycling Limited Plant 2,Recycler,Registration Granted,Authorization,"Eco Recycling Limited, Bldg No. 1, Plot No. 5 S. No. 30B, Village Gokhiware, Vasai (E), Tal. Vasai, Dist. Palghar - 401208  Mumbai 401208",Mumbai,MAHARASHTRA
182,ECO RESET PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"Plot No.-19/1, Village-Bhowari, Tal.-Kamptee, District-Nagpur  nagpur 441001",Nagpur,MAHARASHTRA
168,Eco Saviour E Waste Management Pvt. Ltd.,Recycler,Registration Granted,Authorization,C-351 352 API Industrial Park Tauru Bilaspur Road  Bilaspur 122413,Gurgaon,HARYANA
8972,ECOSTAR RECYCLING,Recycler,Registration Granted,Authorization,GARIB NAWAZ ESTATE HISSA NO 2/A FACTORY NO 642 SURVEY NO 8 TALOJA MIDC ROAD DAHISAR WAKLAN ROAD DHISAR MORI  THANE 400612,Thane,MAHARASHTRA
8018,ECOTIME INDUSTRIES,Recycler,Registration Granted,Authorization,"Plot No 98 and 99 Sparkle Industrial  Estate Vill-Chokhad, Tal-Jalalpore  navsari 396436",Navsari,GUJARAT
14372,ECO TREND RECYCLERS,Recycler,Registration Granted,Authorization,No 81/a and 82/a Khata no 5/2 and 5/3 Kachohalli Village and Industrial Estate lakshmipur post Dasanapura hobli  BENGALURU 562162,Bangalore Rural,KARNATAKA
8160,Ecoverva E waste Recycling Private Limit,Recycler,Registration Granted,Authorization,M/s Ecoverva Ewaste Recycling Pvt Ltd C-356 Ansal Pioneer Industrial Park  Pahreri  Gurugram 122413,Gurgaon,HARYANA
242,Ecoverva E-Waste Recycling Private Limited,Recycler,Registration Granted,Authorization,"Plot No. B-124, Pioneer Industrial Park Pathredi,Manesar, Bilaspur Kalan  Gurugram 122413",Gurgaon,HARYANA
7748,Ecoverva Ewaste Recycling Pvt Ltd,Recycler,Registration Granted,Authorization,"ECOVERVA E WASTE RECYCLING PRIVATE LIMITED Rectangle No 25, 26, Khata No 439/468, Killa No 1/2, 2/2, 3/2,4/2,5/2, Delhi Jaipur Expressway, Shaheed Amar Singh Public School, Rathiwas ,Manesar  Gurgaon 122413",Gurgaon,HARYANA
