RefurbisherID,Company Name,Info,Status,Type,Address,District,State
5,4R Recycling Pvt Ltd,Refurbisher,Approved by CPCB Authority,Amendment,"P-6,South Western Portion,3 rd stage ,Peenya Industrial Estate  Bangalore",Bangalore,KARNATAKA
1851811,A K BARRELS,Refurbisher,Pending at applicant,Amendment,"GALA NO 4 AND 5,NISAR COMPOUND,KHOT BANGLOW,BHANDARLI VILLAGE  THANE",Thane,MAHARASHTRA
617321,Anand Computer Systems,Refurbisher,Pending at applicant,Amendment,"Shop No 5 to 9, B 8 to B 11,1, 19, 20 and godown Sadashiv Peth, Swaipuram Building Pune",Pune,MAHARASHTRA
39840,A ONE E-WASTE RECYCLING,Refurbisher,Approved by CPCB Authority,Amendment,"KHASRA NO 1313, MAWANA ROAD, VILLAGE KHARDONI SHEKHUPUR MEERUT",Meerut,UTTAR PRADESH
2775932,Aqsa Stamping,Refurbisher,Pending at applicant,Amendment,"Plot No 55 ,Rangara Industrial Estate,33/35,Kiravali (Adivali Old Thane Pune Road,Dahisar,Taluka Panvel,Dist Raigad Dahisar,Taluka Panvel,Dist.Raigad",Raigarh(MH),MAHARASHTRA
43835,ARIHANT E RECYCLING PRIVATE LIMITED,Refurbisher,Pending at applicant,Amendment,"GUT NO 307/1, DONDAICHA, AT POST DONDAICHA, CITY DONDAICHA-WARWADE DHULE",Dhule,MAHARASHTRA
543090,Attero Recycling Pvt. Ltd,Refurbisher,Pending at applicant,Amendment,"Khasra No. 172 Ka &173, Raipur Industrial Area, Bhagwanpur, Roorkee, Distt-Haridwar, Uttarakhand  Roorkee",Haridwar,UTTARAKHAND
2892068,AV Sourcing Private Limited,Refurbisher,Pending at CPCB,Amendment,"SKANDA No.827, 29th Main Poornapragna Layout Uttarahalli, Main Road Bangalore",Bangalore,KARNATAKA
21,Axom Refurbisher,Refurbisher,Approved by CPCB Authority,Amendment,"3rd Floor, Kamal C Plaza, Opp. Bora Service Station G.S Road GUWAHATI",Kamrup (Metro),ASSAM
38105,Bombay Recyclers Private Limited,Refurbisher,Pending at applicant,Amendment,"Gala No. P 17-18, S. No. 121/1, 121/2 Balaji Industrial Park, Tondre Village, Behind Hindalco, MIDC Taloja Panvel Panvel",Raigarh(MH),MAHARASHTRA
49812,BRP INFOTECH PRIVATE LIMITED,Refurbisher,Pending at applicant,Amendment,"Plot No: F-394,UPSIDC Industrial Area Phase-1, M.G Road HAPUR",Hapur,UTTAR PRADESH
2364659,BSQUERE EWASTE RECYCLERS,Refurbisher,Pending at applicant,Amendment,"Gala No. 800, Server No.69/3, Siddhivinayak Market Mohammadiya Estate, Pimpri, Thane Thane",Thane,MAHARASHTRA
516345,Clean E waste Recycling,Refurbisher,Pending at CPCB,Amendment,"Survey No 109/2,Rechard Compound Pelhar Village,Vasai East,Tal VasaiDist Palghar Village Pelhar,Tal Vasai,Dist.Palghar",Palghar,MAHARASHTRA
34109,COMMUNICATIONS TEST DESIGN INDIA PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Amendment,"NO. 48, 2ND PHASE PEENYA INDUSTRIAL AREA, PEENYA Bengaluru (Bangalore) Urban",Bangalore,KARNATAKA
