RefurbisherID,Company Name,Refurbisher,Status,Type,Address,District,State
5,4R Recycling Pvt Ltd,Refurbisher,Approved by CPCB Authority,Authorization,"P-6,South Western Portion,3 rd stage ,Peenya Industrial Estate  Bangalore Bangalore",Bangalore,KARNATAKA
39840,A ONE E-WASTE RECYCLING,Refurbisher,Approved by CPCB Authority,Authorization,"KHASRA NO 1313, MAWANA ROAD, VILLAGE KHARDONI SHEKHUPUR MEERUT Meerut",Meerut,UTTAR PRADESH
21,Axom Refurbisher,Refurbisher,Approved by CPCB Authority,Authorization,"3rd Floor, Kamal C Plaza, Opp. Bora Service Station G.S Road GUWAHATI Kamrup (Metro)",Kamrup (Metro),ASSAM
34109,COMMUNICATIONS TEST DESIGN INDIA PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"NO. 48, 2ND PHASE PEENYA INDUSTRIAL AREA, PEENYA Bengaluru (Bangalore) Urban Bangalore",Bangalore,KARNATAKA
1912855,Deshwal Waste Management Pvt. Ltd.,Refurbisher,Approved by CPCB Authority,Authorization,"Gat No-520, Behind Shell Petrol Pump, Pune Nagar Road Wagholi Pune Pune",Pune,MAHARASHTRA
1555514,Eco Tech Recycling,Refurbisher,Approved by CPCB Authority,Authorization,"C - 6, (5), Sagar Industrial Estate,  S. No. 46/4, Dhumal Nagar, Vasai East Vasai Palghar",Palghar,MAHARASHTRA
68515,E HASIRU,Refurbisher,Approved by CPCB Authority,Authorization,"NO.168/B, 7TH MAIN ROAD,3RD PHASE PEENYA INDUSTRIAL AREA BANGALORE Bangalore",Bangalore,KARNATAKA
1890234,EMS SCRAPO,Refurbisher,Approved by CPCB Authority,Authorization,SURVEY NO 199 HISSA NO 03 BHARAT MARKET KHAN COMPOUND SHIL ROAD THANE Thane,Thane,MAHARASHTRA
2546307,ENVIROCARE RECYCLING PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"Unit No. 7 & 8, C - 1, Actual Industrial Complex, Uchat Road Village Mangathane, Tal. Wada, Dist. Palghar 421312 Wada Palghar",Palghar,MAHARASHTRA
13674,Envirokare Recycling Solutions Pvt Ltd ,Refurbisher,Approved by CPCB Authority,Authorization,"SY No. 475, Elikatta village  Farooq Nagar K.V.Rangareddy",K.V.Rangareddy,TELANGANA
2408553,epragathi recycing,Refurbisher,Approved by CPCB Authority,Authorization,"89/2 AND 90 ROAD NO. 19 ANTHARASANAHALLI INDUSTRIAL AREA, ANTHARASANAHALLI TUMKUR Tumkur",Tumkur,KARNATAKA
43397,ETCO E-WASTE RECYCLER PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"SB-22-23,, SHILP BARI, ROAD NO. 14, VKI AREA,  jaipur Jaipur",Jaipur,RAJASTHAN
2441901,Fiz Trading Company,Refurbisher,Approved by CPCB Authority,Authorization,"PLOT NO. 60, ROOP NAGAR INDUSTRIAL AREA, LONI BANTHLA, GHAZIABAD 201102 GHAZIABAD Ghaziabad",Ghaziabad,UTTAR PRADESH
33655,GLOBAL METALISTS PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"J-176, RIICO, GROWTH CENTRE, RIICO INDUSTRIAL AREA, DHOLPUR  DHOLPUR Dholpur",Dholpur,RAJASTHAN
36380,GNG Electronics pvt ltd,Refurbisher,Approved by CPCB Authority,Authorization,"GNG ELECTRONICS PVT LTD C/O RAHEJA DISTRICT, PLOT NO GEN-2/1/B, BLOCK D, SHED B1 & B2, MODULE 7 & 8 MIDC TTC INDUSTRIAL AREA, JUINAGAR, NAVI MUMBAI, THANE, MAHARASHTRA, PIN CODE: 400 706 navi mumbai Thane",Thane,MAHARASHTRA
1602299,GRADE INFRATECH PVT LTD,Refurbisher,Approved by CPCB Authority,Authorization,Gat No 849 Near Mahindra CIE Ambethan Village Chakan Tal Khed Dist Pune 410501 Pune Pune,Pune,MAHARASHTRA
763856,Green PC World Private Limited,Refurbisher,Approved by CPCB Authority,Authorization,"Plot No-14, Pace City-1, Sector-37 Gurgaon, Haryana -122006 Plot No. 14, Pace City-1, Sector-37 Gurgaon, Haryana- 122006 Gurgaon Gurgaon",Gurgaon,HARYANA
16922,GREENSCAPE ECO MANAGEMENT PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,F-588 to F-591 MIA Alwar Alwar,Alwar,RAJASTHAN
14934,Greentek Reman Private Limited,Refurbisher,Approved by CPCB Authority,Authorization,"B2/12, Site B Industrial Area Surajpur Greater Noida Gautam Buddha Nagar",Gautam Buddha Nagar,UTTAR PRADESH
7,GRKMS PVT LTD,Refurbisher,Approved by CPCB Authority,Authorization,"GRKMS PVT LTD , PLOT NO 74 , 29B CROSS , KIADB INDUSTRIAL AREA 1ST STAGE SOMPURA , BHARATHIPURA , DABASPETE BANGALORE Bangalore Rural",Bangalore Rural,KARNATAKA
50983,INGRAM MICRO INDIA PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"INGRAM MICRO INDIA PRIVATE LIMITED, Plot #1-4, Survey# 5/2, 15 KM Stone, Singasandra Post Bartena Agrahara NH7, Hosur RD Bangalore-560100. Karnataka, India Bengaluru Bangalore",Bangalore,KARNATAKA
44662,Ingram Micro India Pvt. Ltd,Refurbisher,Approved by CPCB Authority,Authorization,PLOT NO 45 PACE CITY-1  GURUGRAM Gurgaon,Gurgaon,HARYANA
71321,J K CORPORATION,Refurbisher,Approved by CPCB Authority,Authorization,"Survey No. 242/274, Hissa No. 1 & 2 Vaganpada, Near Nana Steel, Pelhar, Nalasopara (E), Tal. Vasai, Dist. Palghar  - 401208 Vasai Palghar",Palghar,MAHARASHTRA
