QUANTITY
360 MT/A
240 MT/A
750 MT/M
600 MT/A
"1) 30MT/M
  2) 100MT/M"
"1) 2000MT/M
  2)500 MT/M"
30 MT/M
150 MT/A
3012 MT/A
"1) 3.5 KL/D
  2) 3000 Kg/D"
790 MT/M
600 Kg/D
10 MT/M
150 MT/M
60 MT/M
137.5 MT/M
500 T/M
800 T/M
10 MT/M
1000 MT/M
60 MT/M
150 MT/M
1000 MT/A
"10 MT/M
  (Amendment Granted vide reg No- MPCB/HSMD/P
  lastic Reg./B- 54/2019 dtd 10/02/2020 for
  500 MT/M)"
300 MT/M
2000 Kg/D
3000 MT/M
100 T/M
1200 MT/A
250 MT/M
330 MT/A
55 MT/M
200 Kg/D
10 T/M
2.5MT/day
657 MT/A
50 T/M
"1) 100 T/M
  2) 25 T/M"
"10,000 MT/A"
1800 T/A
300 MT/M
150 MT/M
"1)125 MT/M
  2) 250 MT/M"
20 T/day
16000 MT/A
"1) 100 MT/M
  2) 100 MT/M"
50 MT/M
350 T/A
150 MT/M
400 MT/M
12 MT/M
150 MT/M
300 MT/M
40 MT/M
300 Kg/day
300 Kg/day
20 T/M
500 MT/M
100 MT/A
270 MT/M
"120000 Lit/M
  7.5 T/M"
4000 MT/A
"5000 Lit/ M
  850 Kg/M"
50 MT/M
50 MT/M
30 MT/M
70 MT/M
350 MT/M
