SR NO.,NAME,NAME.1,ADDRESS,Phone no.,Email,RAW MATERIAL,PRODUCT,QUANTITY,VALIDITY,REGISTRATION NO,REG.DATE,In Process Status at CPCB,Not Approved Status at CPCB,Registered Status at CPCB
1.0,BHAVNA ENTERPRISES,Bhavna Enterprises,"D-10 Ram Rahim Rahim Udyog Nagar, L.B.S Road, Bhandup Mumbai",9821326477,nikhilkataria1312@gmail.com,Plastic scrap,Plastic Granules,360 MT/A,31/1/2020,MPCB/HSMD/Plastic Reg./B- 05/2018,2019-09-01 00:00:00,Not Found,Not Found,Registered
2.0,AMAR INDUSTRIES,Amar Industries,"A-10 MIDC Khapoli, Tal - Chiplun, Dist- Ratnagiri",9168811312,amar.industries@hotmail.com,Plastic scrap,"Reprocessed LDPE, HDPE, IIPE Plastic Granules",240 MT/A,31/3/2020,MPCB/HSMD/Plastic Reg./B- 06/2018,2019-12-03 00:00:00,Not Found,Not Found,Registered
3.0,MODERN INDUSTRIES,Modern Industries,"Unit No - 33, Kembros Industrial Estate, 1st floor, LBS marg, Bhandup (W)",9820091425,mvfuriya@yahoo.co.in,VERGIN PLASTIC SCRAP,Reprocessed Plastic Granules-,750 MT/M,31/3/2020,MPCB/HSMD/Plastic Reg./B- 07/2018,2019-12-03 00:00:00,Not Found,Not Found,Not Found
4.0,SUYASH INDUSTRIES,Suyash Industries,"Gat No- 318,B, Plot No- 06, At post- Shinde Wadi, Tal- Bhor, Dist- Pune",9422035714,shahvrajeshg@gmail.com,PLASTIC BAGS SCRAP,Reprocessed Plastic Granules-,600 MT/A,31/3/2020,MPCB/HSMD/Plastic Reg./B- 08/2018,2019-12-03 00:00:00,Not Found,Not Found,Registered
5.0,ANSARI PLASTIC,Ansari Plastic,"Plot No- 2443/A/3, Wanjara Layout, Kamptee Road, Nagpur",7020072043,uniquetraders785@gmail.com,Plastic scrap,Reprocessed Plastic Strips - Reprocessed Plastic Granules-,"1) 30MT/M
  2) 100MT/M",31/3/2020,MPCB/HSMD/Plastic Reg./B- 09/2018,2019-12-03 00:00:00,Not Found,Not Found,Registered
6.0,SHAKTI PLASTIC INDUSTRIES,Shakti Plastic Industries,"Gat No- 158 & 159, Village Nandgaon, Dist- Palghar",7208080133,rahulvpodaar@gmail.com,ALL TYPE OF PLASTIC WASTE & SCRAP,"1) Reprocessed Plastic Strips -
  2) Plastic Grinding & Aglomerate -","1) 2000MT/M
  2)500 MT/M",31/3/2020,MPCB/HSMD/Plastic Reg./B- 10/2018,2019-12-03 00:00:00,Not Found,Not Found,Not Found
7.0,SWAGATAM ENTERPRISES,Swagatam Enterprises,"Gat No- 667 Khandala Matha Ranjangaon Ganpati, Pune",9511939495,dadapacharne@gmail.com,Plastic scrap,Plastic Granules from waste plastic-,30 MT/M,31/3/2020,MPCB/HSMD/Plastic Reg./B- 11/2018,2019-12-03 00:00:00,Not Found,Not Found,Registered
8.0,JAY AGRO INDUSTRIES,Jay Agro Industries,"Plot no-a757, MIDC mahape, TTC, Indl Area, Navi Mumbai.",9820036421,nilesh6962@gmail.com,Plastic scrap,Plastic Granules from waste plastic-,150 MT/A,31/3/2020,MPCB/HSMD/Plastic Reg./B- 12/2018,2019-12-03 00:00:00,Not Found,Not Found,Registered
9.0,SAMARTH ENTERPRISES.,Samarth Enterprises.,"Gat No- 669, Moshi Alandi Road, Tal- Haveli, Dist- Pune.",7720060531,accounts@samarth.net,Plastic scrap,Reprocessing of plastic waste into Granules-,3012 MT/A,30/4/2020,MPCB/HSMD/Plastic Reg./B- 01/2019,2019-11-04 00:00:00,Not Found,Not Found,Not Found
10.0,GREEN ROOTS SOLUTIONS.,Green Roots Solutions.,"Survey No- 50, Barave, Tal- Kalyan, Dist- Thane",9225068942,greenroots159@gmail.com,"SINGLE LAYERED FLEXIBLE PLASTIC (HDPE,LDPE,POLYTHENE CARRY BAGS),REJECT PLASTIC (PP,PET),MULTILAYERED PLASTIC PACKAGING WASTE","1. Farnace Oil from waste plastic-
  2) Reprocessing of plastic waste into Granules-","1) 3.5 KL/D
  2) 3000 Kg/D",30/4/2020,MPCB/HSMD/Plastic Reg./B- 02/2019,20/4/2019,Not Found,Not Found,Not Found
